196 1708452156 0,000000 0,000000 -101,000000 0,000000 0,000000
196 1708452157 0,000000 0,000000 -101,000000 0,000000 0,000000
196 1708452158 0,000000 0,000000 -101,000000 0,000000 0,000000
196 1708452159 0,000000 0,000000 -101,000000 0,000000 0,000000
196 1708452160 4,000000 0,200000 0,800000 0,800000 -20,200000
196 1708452161 4,000000 0,200000 1,600000 1,600000 -20,200000
196 1708452162 4,000000 0,200000 2,400000 2,400000 -20,200000
196 1708452163 4,000000 0,200000 3,200000 3,200000 -20,200000
196 1708452164 4,000000 0,200000 4,000000 4,000000 -20,200000
196 1708452165 2,000000 0,600000 5,200000 5,200000 -20,200000
196 1708452166 2,000000 0,600000 6,400000 6,400000 -20,200000
196 1708452167 2,000000 0,600000 7,600000 7,600000 -20,200000
196 1708452168 2,000000 0,600000 8,800000 8,800000 -20,200000
196 1708452169 2,000000 0,600000 10,000000 10,000000 -20,200000
196 1708452170 0,333333 1,200000 10,400000 10,400000 -20,200000
196 1708452171 0,333333 1,200000 10,800000 10,800000 -20,200000
196 1708452172 0,333333 1,200000 11,200000 11,200000 -20,200000
196 1708452173 0,333333 1,200000 11,600000 11,600000 -20,200000
196 1708452174 0,333333 1,200000 12,000000 12,000000 -20,200000
196 1708452175 0,750000 1,600000 13,200000 13,200000 -20,200000
196 1708452176 0,750000 1,600000 14,400000 14,400000 -20,200000
196 1708452177 0,750000 1,600000 15,600000 15,600000 -20,200000
196 1708452178 0,750000 1,600000 16,800000 16,800000 -20,200000
196 1708452179 0,750000 1,600000 18,000000 18,000000 -20,200000
196 1708452180 0,600000 2,000000 19,200000 19,200000 -20,200000
196 1708452181 0,600000 2,000000 20,400000 20,400000 -20,200000
196 1708452182 0,600000 2,000000 21,600000 21,600000 -20,200000
196 1708452183 0,600000 2,000000 22,800000 22,800000 -20,200000
196 1708452184 0,600000 2,000000 24,000000 24,000000 -20,200000
196 1708452185 0,500000 2,400000 25,200000 25,200000 -20,200000
196 1708452186 0,500000 2,400000 26,400000 26,400000 -20,200000
196 1708452187 0,500000 2,400000 27,600000 27,600000 -20,200000
196 1708452188 0,500000 2,400000 28,800000 28,800000 -20,200000
196 1708452189 0,500000 2,400000 30,000000 30,000000 -20,200000
196 1708452190 0,533333 3,000000 31,600000 31,600000 -20,200000
196 1708452191 0,533333 3,000000 33,200000 33,200000 -20,200000
196 1708452192 0,533333 3,000000 34,800000 34,800000 -20,200000
196 1708452193 0,533333 3,000000 36,400000 36,400000 -20,200000
196 1708452194 0,533333 3,000000 38,000000 38,000000 -20,200000
196 1708452195 0,000000 3,400000 38,000000 38,000000 -20,200000
196 1708452196 0,000000 3,400000 38,000000 38,000000 -20,200000
196 1708452197 0,000000 3,400000 38,000000 38,000000 -20,200000
196 1708452198 0,000000 3,400000 38,000000 38,000000 -20,200000
196 1708452199 0,000000 3,400000 38,000000 38,000000 -20,200000
196 1708452200 0,315789 3,800000 39,200000 39,200000 -20,200000
196 1708452201 0,315789 3,800000 40,400000 40,400000 -20,200000
196 1708452202 0,315789 3,800000 41,600000 41,600000 -20,200000
196 1708452203 0,315789 3,800000 42,800000 42,800000 -20,200000
196 1708452204 0,315789 3,800000 44,000000 44,000000 -20,200000
196 1708452205 0,285714 4,200000 45,200000 45,200000 -20,200000
196 1708452206 0,285714 4,200000 46,400000 46,400000 -20,200000
196 1708452207 0,285714 4,200000 47,600000 47,600000 -20,200000
196 1708452208 0,285714 4,200000 48,800000 48,800000 -20,200000
196 1708452209 0,285714 4,200000 50,000000 50,000000 -20,200000
196 1708452210 0,090909 4,400000 50,400000 50,400000 -20,200000
196 1708452211 0,090909 4,400000 50,800000 50,800000 -20,200000
196 1708452212 0,090909 4,400000 51,200000 51,200000 -20,200000
196 1708452213 0,090909 4,400000 51,600000 51,600000 -20,200000
196 1708452214 0,090909 4,400000 52,000000 52,000000 -20,200000
196 1708452215 -0,173913 4,600000 51,200000 51,200000 -20,200000
196 1708452216 -0,173913 4,600000 50,400000 50,400000 -20,200000
196 1708452217 -0,173913 4,600000 49,600000 49,600000 -20,200000
196 1708452218 -0,173913 4,600000 48,800000 48,800000 -20,200000
196 1708452219 -0,173913 4,600000 48,000000 48,000000 -20,200000
196 1708452220 0,083333 4,800000 48,400000 48,400000 -20,200000
196 1708452221 0,083333 4,800000 48,800000 48,800000 -20,200000
196 1708452222 0,083333 4,800000 49,200000 49,200000 -20,200000
196 1708452223 0,083333 4,800000 49,600000 49,600000 -20,200000
196 1708452224 0,083333 4,800000 50,000000 50,000000 -20,200000
